DE_gene,logFC,AveExpr,t,P.Value
MSTRG.2871|RP11-258F22.1|ZNF248,0.170718229,2.817086912,0.394501492,0.701651977
MSTRG.22058|BTN3A3,-0.03065049,2.341309074,-0.101440966,0.921244023
MSTRG.3765|HRAS,0.109583319,4.172743141,0.734969666,0.47956109
MSTRG.7205|IRS2,-0.150910944,3.263291373,-0.383962402,0.709197971
MSTRG.11939|RP11-178C3.1|RP11-178C3.2|RPS6KB1,0.187433029,4.915551459,0.786285757,0.450277865
MSTRG.26480|GTF3C4,-0.110368876,3.61795814,-0.656278462,0.526739848
MSTRG.722|RP1-39G22.7,-0.017091581,2.429346373,-0.073339733,0.943009747
MSTRG.13614|CEBPG,-0.123157506,5.950548419,-0.782406786,0.452449718
MSTRG.13499|CRLF1,-0.081703654,2.961147668,-0.393175904,0.702599247
MSTRG.26203|PTGR1,0.084798065,2.947084289,0.409647581,0.690867018
MSTRG.22641|IBTK,-0.114638265,6.158476496,-0.77340515,0.457516143
MSTRG.26664|MT-CO1,0.064633633,15.75170461,0.397022049,0.699852261
MSTRG.21405|HSPA9,-0.138480534,7.934461693,-0.713003495,0.492457079
MSTRG.2572|SMYD3,-0.006217809,2.447971022,-0.04009165,0.968824331
MSTRG.17299|C22orf29|GNB1L,-0.066427781,2.989109066,-0.475367319,0.644933571
MSTRG.19882|YTHDC1,-0.111926201,5.029283853,-0.784665445,0.451184252
MSTRG.14780|PPP4R3B,-0.111706182,4.785125028,-0.77963478,0.454005973
MSTRG.14367|AC108488.4|RNASEH1|RP13-512J5.1,-0.094597525,4.936842147,-0.784044633,0.451531845
MSTRG.8821|VWA9,0.071053074,3.151290644,0.529874574,0.607983062
MSTRG.26530|INPP5E,-0.063810188,2.714378309,-0.388198051,0.706161209
MSTRG.19526|MIR943|NELFA,-0.046340454,2.664014452,-0.239728436,0.815475958
MSTRG.2426|SNAP47,-0.092276303,4.002779246,-0.703633912,0.498022859
MSTRG.13663|AC002398.12,-0.092304188,2.839077806,-0.32299767,0.753476982
MSTRG.19464|PIGZ,-0.042618098,2.56037722,-0.199217096,0.846161823
MSTRG.18476|DCP1A,-0.095231042,3.789353969,-0.680098222,0.512173599
MSTRG.15271|TTL,0.098294362,5.963749235,0.7776204,0.455139074
MSTRG.10333|UTP4,-0.088780151,4.21277053,-0.73591574,0.479010493
MSTRG.26586|MIR7114|NSMF,0.096179522,2.924018579,0.410226047,0.690456533
MSTRG.10182|ADGRG1,0.157647975,3.520871694,0.602056975,0.560794229
MSTRG.21877|BPHL,0.108654701,3.27965167,0.563166293,0.585963499
MSTRG.14585|TTC27,-0.095684599,3.027849132,-0.477835801,0.643236944
MSTRG.11520|NT5C3B,-0.055954656,2.753346693,-0.343613065,0.738388652
MSTRG.25454|LYNX1,0.03792877,2.472259802,0.145015851,0.887634802
MSTRG.12610|ABHD3,0.064037352,3.000582283,0.413001101,0.688488799
MSTRG.1741|ADAR,0.085260731,5.196159317,0.78627551,0.450283593
MSTRG.11866|AKAP1,-0.138489048,7.225304765,-0.734853642,0.479628641
MSTRG.6016|MARCH9,-0.060479544,2.765654369,-0.357549987,0.728253588
MSTRG.18799|IQCB1,-0.026722379,2.461613841,-0.106486899,0.917342393
MSTRG.23586|RASA4CP,-0.192819813,4.842665878,-0.777743125,0.455069988
MSTRG.10184|KATNB1,0.016260732,2.513790262,0.085857737,0.933306738
MSTRG.4296|SERPING1,0.212340788,5.727864121,0.783243133,0.451980865
MSTRG.20442|CDKN2AIP,-0.087488727,2.992422083,-0.44481134,0.666110323
MSTRG.15272|POLR1B,-0.088436664,3.052176344,-0.486524049,0.637282556
MSTRG.19363|MASP1,-0.236508474,3.518656478,-0.618430501,0.550381365
MSTRG.10163|NUP93,0.097084246,3.652644421,0.635579747,0.539594455
MSTRG.4921|FAM76B,0.032047365,2.409763689,0.170143916,0.868354997
MSTRG.4723|AP001372.2|POLD3,0.071521901,2.748792236,0.338641532,0.742016915
MSTRG.18637|MTRNR2L12,-0.15517822,7.040737407,-0.739848318,0.476726098
MSTRG.21747|CLTB,0.125814049,5.82505647,0.77985266,0.453883524
MSTRG.9520|LINC00921|ZNF263,0.071383353,2.703248744,0.2381809,0.816642519
MSTRG.5140|SC5D,-0.112603998,2.795027505,-0.420714879,0.683031979
MSTRG.21845|TRIM7,-0.114308439,6.596101651,-0.755155,0.467900656
MSTRG.22320|RP3-340B19.2,-0.065674242,2.603919666,-0.264715565,0.796707791
MSTRG.21326|ZCCHC10,0.129172295,3.091818561,0.511077816,0.620602098
MSTRG.333|ATP13A2,-0.079257212,3.296710374,-0.566046616,0.5840787
MSTRG.5047|BUD13,-0.049910287,2.683372897,-0.276958125,0.787560917
MSTRG.10495|MPHOSPH6,-0.021710223,2.565483207,-0.114872454,0.910863645
MSTRG.26679|MT-TE,0.168716741,8.050385834,0.692341323,0.504782268
MSTRG.26428|CRAT,-0.136901719,7.641343458,-0.715039866,0.491252549
MSTRG.16830|MTG2,0.175883723,4.195955743,0.741242802,0.47591772
MSTRG.9102|EGLN1P1|SCAND2P,-0.118514796,2.799192984,-0.33672743,0.743415622
MSTRG.12708|GALNT1,-0.082363393,5.469826482,-0.782633062,0.452322837
MSTRG.22463|AARS2,0.01108968,2.5024788,0.052622331,0.959089074
MSTRG.19307|ABCC5,-0.179586556,6.495742997,-0.759884568,0.465195032
MSTRG.7349|BCL2L2|BCL2L2-PABPN1|PABPN1,0.117638213,6.312590694,0.766195625,0.461600429
MSTRG.7292|METTL17,-0.085105569,4.854845831,-0.776220292,0.45592773
MSTRG.20970|JMY,0.083639679,4.197041265,0.73234557,0.481090357
MSTRG.5061|RNF214,0.077746423,3.125858751,0.503969342,0.625408565
MSTRG.22444|MAD2L1BP,-0.082472501,3.487633786,-0.591131994,0.567803143
MSTRG.27491|HCFC1,-0.0767217,5.421415888,-0.782586272,0.452349072
MSTRG.18134|EPM2AIP1,-0.106442776,5.34156546,-0.782590903,0.452346476
MSTRG.8926|CD276,-0.035193702,2.661099946,-0.201988087,0.844053605
MSTRG.2789|LINC00202-1,-0.153629304,3.167964191,-0.252319387,0.806002538
MSTRG.10948|SCO1,-0.160363259,4.353725761,-0.745623616,0.473383845
MSTRG.17995|HACL1,0.088262611,3.102881313,0.51091614,0.62071121
MSTRG.22407|PEX6,-0.15240261,4.379820512,-0.719197872,0.488798758
MSTRG.14952|STAMBP,-0.148706888,4.677375216,-0.767276786,0.460986437
ENSG00000174010,-0.016992899,2.477520389,-0.084240853,0.934559414
MSTRG.14217|PPP1R12C,0.113741843,4.436046626,0.736563291,0.478633861
MSTRG.13334|CALR,0.084902013,5.516925705,0.78126506,0.453090281
ENSG00000140320,-0.04168265,2.449989168,-0.11658687,0.909539903
MSTRG.6543|PRKAB1,0.063615998,3.020509883,0.455672666,0.658546206
MSTRG.4672|ATG16L2,0.084297444,3.09427978,0.436201465,0.672134626
MSTRG.13917|TRAPPC6A,-0.006265186,2.596819716,-0.032353073,0.974839336
MSTRG.23847|GNAI1,0.087341588,2.858044501,0.459896453,0.655615489
MSTRG.6567|MLEC,-0.140055211,6.595181938,-0.751647318,0.469913792
MSTRG.4107|HSP90AA2P,-0.044588157,2.61906481,-0.157699435,0.877892682
MSTRG.3953|SCUBE2,-0.143820045,2.895674569,-0.429114698,0.677111619
MSTRG.24506|LINC01003,0.00999677,2.458591665,0.055717273,0.956685594
MSTRG.3167|FUT11|SEC24C,-0.080540339,5.622802536,-0.778557391,0.454611781
ENSG00000136213,0.056955618,2.740303071,0.364413228,0.723282596
MSTRG.21019|VCAN,0.195569792,3.562488325,0.573064538,0.579500114
MSTRG.4578|PPP1CA,0.096722288,5.276295447,0.780387539,0.453583014
MSTRG.5597|TM7SF3,0.075380795,3.354655649,0.555457096,0.591024214
MSTRG.26811|PRDX4,0.091094786,3.458758557,0.571146598,0.580749464
MSTRG.17013|N6AMT1,-0.081069994,3.046185934,-0.445759707,0.665448267
MSTRG.12055|AMZ2P1,-0.090915219,3.210281155,-0.525406236,0.610970822
MSTRG.3994|ZBED5,-0.083537488,5.340835509,-0.779519225,0.454070923
MSTRG.2123|RNF2,0.045179578,2.588285835,0.232038638,0.821277286
ENSG00000100580,-0.027728886,2.460498525,-0.190584012,0.852738138
MSTRG.18292|MYL3,-0.161476383,9.578400199,-0.638504297,0.53776721
ENSG00000171448,0.020499551,2.547368584,0.128186332,0.900591533
MSTRG.11188|RPS7P1,-0.031189056,2.694286325,-0.23807579,0.81672177
MSTRG.1835|KIRREL,-0.008290116,2.454147511,-0.015352102,0.988059044
MSTRG.18600|RYBP,0.06117682,3.197614102,0.46769178,0.650222764
MSTRG.7336|ACIN1,0.080722093,5.468935493,0.778798009,0.454476438
MSTRG.22658|SMIM8,0.005761098,2.509615273,0.024145227,0.981220898
MSTRG.21027|RASA1,0.100134205,3.811170174,0.678167351,0.513345244
MSTRG.8407|EIF2AK4,0.06746379,4.172070871,0.719239996,0.488773938
MSTRG.12226|PRPSAP1,0.086599196,3.251770961,0.527022229,0.609889415
MSTRG.20492|SDHA,-0.167083074,8.193993355,-0.688144098,0.507308833
