ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
MSTRG.2297|RCOR3,-0.119930481,6.04844629,-0.999182094,0.341716986,0.798307981,-4.631906952,,FALSE
MSTRG.6569|MIR4700|UNC119B,-0.120089244,3.401009061,-0.938335676,0.370601759,0.811313957,-4.630613537,,FALSE
MSTRG.10766|UBE2G1,-0.120106912,7.1331682,-0.847057329,0.417151206,0.83560114,-4.670419087,,FALSE
MSTRG.513|SPCS2P4,-0.12018241,2.100079662,-0.622611208,0.547740378,0.887139481,-4.649927303,,FALSE
ENSG00000063587,-0.120211032,2.824313509,-0.494692191,0.631709253,0.919072837,-4.687783386,,FALSE
ENSG00000170954,-0.120243701,1.438298199,-0.474968363,0.645207981,0.9224831,-4.647808207,,FALSE
MSTRG.1615|ADAMTSL4-AS1|MCL1,-0.120257868,7.008958978,-0.919524349,0.379878821,0.816755334,-4.652248941,,FALSE
MSTRG.20642|DNAJC21,-0.120324272,5.789442289,-1.130448028,0.285170996,0.771938646,-4.587980079,,FALSE
MSTRG.6560|DYNLL1,-0.120346804,4.201382298,-0.399957228,0.69775896,0.936527502,-4.755407583,,FALSE
MSTRG.10320|ZFP90,-0.120377617,2.76053885,-0.683392457,0.510178407,0.874720354,-4.660270469,,FALSE
MSTRG.8099|DYNC1H1,-0.120397366,7.607762069,-1.062370059,0.313523298,0.781248631,-4.606073673,,FALSE
ENSG00000128805,-0.120397857,0.759679449,-0.313155963,0.760719234,0.952912462,-4.640878973,,FALSE
MSTRG.5372|SPSB2,-0.120432821,1.196583055,-0.393146082,0.702620563,0.937507405,-4.649414625,,FALSE
MSTRG.14495|AGBL5,-0.120452787,2.531716871,-0.716875983,0.490168045,0.864849941,-4.649957965,,FALSE
MSTRG.12939|RNF126,-0.120459575,3.529689188,-0.444255703,0.666498354,0.925704834,-4.724760486,,FALSE
MSTRG.7864|ISCA2,-0.1204882,3.731438561,-0.777946045,0.454955772,0.850476728,-4.673965672,,FALSE
MSTRG.26506|WDR5,-0.120514323,4.259864109,-1.156135166,0.275008648,0.768598808,-4.576830908,,FALSE
MSTRG.14189|NDUFA3,-0.120636425,6.273669729,-0.715604866,0.490918672,0.864849941,-4.713145541,,FALSE
MSTRG.16737|CSE1L,-0.120696406,5.545098648,-1.161861336,0.272782705,0.768598808,-4.576966778,,FALSE
MSTRG.10120|RBL2,-0.120705764,5.758711062,-1.159003402,0.273891884,0.768598808,-4.577761149,,FALSE
MSTRG.11601|DUSP3,-0.1207642,6.351057411,-0.994619174,0.343823767,0.799424959,-4.632289349,,FALSE
MSTRG.13674|WDR62,-0.120803435,5.80988211,-0.928682175,0.375342005,0.814070905,-4.654343303,,FALSE
MSTRG.6705|ANKLE2,-0.120862755,4.558323773,-1.145047294,0.279359646,0.77134977,-4.581761179,,FALSE
MSTRG.26897|FUNDC1,-0.120891763,2.916080683,-0.663802548,0.522112347,0.879258035,-4.669020072,,FALSE
MSTRG.10902|MIR6883|PER1|RP11-599B13.6|VAMP2,-0.120901996,6.50977575,-0.721841163,0.487242841,0.864553273,-4.70920769,,FALSE
MSTRG.18648|PDLIM1P4|ST3GAL6,-0.120927971,2.417009304,-0.615820854,0.552033578,0.888834844,-4.661556581,,FALSE
MSTRG.6966|RB1,-0.120946692,5.0578343,-1.042441961,0.322218093,0.785709891,-4.618998019,,FALSE
MSTRG.14371|RNF144A,-0.121033875,3.379023608,-0.427409799,0.678311413,0.928762637,-4.730076804,,FALSE
MSTRG.24058|DNAJC2,-0.121053428,3.939372488,-1.151258294,0.276915746,0.768792193,-4.577194663,,FALSE
MSTRG.16241|STK25,-0.121054013,6.941592282,-0.823576619,0.429749406,0.840053601,-4.679221701,,FALSE
ENSG00000070269,-0.121055916,2.062339368,-0.607989654,0.557008546,0.891575227,-4.65163987,,FALSE
MSTRG.22855|RP11-632C17__A.1,-0.121082384,4.622869662,-0.944648447,0.367525316,0.809666868,-4.647964626,,FALSE
MSTRG.13878|CADM4,-0.121231178,1.65292553,-0.376966831,0.714225194,0.940990048,-4.655876524,,FALSE
MSTRG.5395|PEX5,-0.121278717,5.113407124,-0.898612867,0.390384357,0.824259777,-4.665640955,,FALSE
MSTRG.14809|XPO1,-0.121376257,6.073365302,-0.977756593,0.3516928,0.804989992,-4.639238369,,FALSE
MSTRG.5536|PSMC1P9,-0.121443451,0.916850151,-0.59021504,0.56839362,0.894089101,-4.631109967,,FALSE
MSTRG.3617|FAM204A,-0.121455063,4.27273482,-1.065964367,0.311974266,0.781248631,-4.606476352,,FALSE
ENSG00000169629,-0.121608729,2.881549906,-0.332756812,0.746320229,0.948124633,-4.717127439,,FALSE
MSTRG.20074|UBE2D3,-0.121655263,7.246148219,-1.213953601,0.253184534,0.756472447,-4.557211005,,FALSE
MSTRG.2015|METTL13,-0.121777724,3.837787738,-1.095304228,0.29954789,0.776532314,-4.593990222,,FALSE
MSTRG.22436|XPO5,-0.121795318,3.574211709,-1.117012821,0.290602254,0.774377679,-4.585859155,,FALSE
MSTRG.10968|COX10-AS1,-0.12183322,0.391007093,-0.292104955,0.776291145,0.957682501,-4.636752211,,FALSE
MSTRG.23855|CACNA2D1,-0.12189775,7.63605137,-0.782806178,0.45222578,0.849731057,-4.683293659,,FALSE
MSTRG.14978|PCGF1,-0.122037905,2.896066448,-0.938984997,0.370284469,0.811244674,-4.620068403,,FALSE
MSTRG.683|AKIRIN1,-0.122219839,4.633778318,-0.642924904,0.535012084,0.882398782,-4.729840652,,FALSE
MSTRG.2887|ZNF33B,-0.12227362,2.567835414,-0.18033823,0.860558325,0.978281894,-4.708058209,,FALSE
MSTRG.11092|EPN2|RP11-744A16.4,-0.122372355,4.154648446,-0.589405422,0.568915259,0.894089101,-4.728943322,,FALSE
MSTRG.15017|TGOLN2,-0.122439165,5.862777705,-1.132530654,0.28433624,0.771778634,-4.587151509,,FALSE
MSTRG.14597|CRIM1,-0.12268531,5.912304281,-0.664578496,0.5216365,0.879017241,-4.727737437,,FALSE
MSTRG.16213|NDUFA10,-0.122706703,7.171117555,-0.816641294,0.433519015,0.84066789,-4.678655683,,FALSE
MSTRG.441|MTFR1L|RP1-317E23.6|SEPN1,-0.122841323,7.221178955,-0.796087103,0.444820613,0.845237988,-4.683640756,,FALSE
MSTRG.2641|RBM17,-0.122886945,5.554134562,-0.999051833,0.341776997,0.798307981,-4.633581955,,FALSE
ENSG00000234284,-0.122941989,1.368050594,-0.516191907,0.617155713,0.91431924,-4.646974692,,FALSE
MSTRG.79|RP11-345P4.9,-0.123062091,3.410971809,-0.877243605,0.4013295,0.829741004,-4.643482435,,FALSE
MSTRG.3456|SLF2,-0.123066805,5.070387898,-0.895995101,0.391713767,0.825452087,-4.666338444,,FALSE
MSTRG.14329|RPS5,-0.123082833,7.771580102,-1.026973988,0.329091645,0.788731412,-4.616518215,,FALSE
MSTRG.2225|ADIPOR1,-0.123137151,6.319391948,-1.246587262,0.241496007,0.749203255,-4.545507545,,FALSE
MSTRG.10360|EXOSC6,-0.123149457,3.757662743,-0.873203873,0.403422414,0.831529652,-4.649925424,,FALSE
MSTRG.13614|CEBPG,-0.123157506,5.950548419,-0.782406786,0.452449718,0.849731057,-4.697916692,,FALSE
MSTRG.5052|SIK3,-0.123249959,4.978823394,-0.924411592,0.377452823,0.815409431,-4.657056,,FALSE
MSTRG.10878|ZBTB4,-0.123258075,5.924160218,-0.936967161,0.371271124,0.811600617,-4.652383355,,FALSE
MSTRG.3568|BBIP1,-0.123380567,2.707897231,-0.406843909,0.69285802,0.93497743,-4.692937884,,FALSE
MSTRG.6371|PRDM4,-0.123390337,3.639672117,-1.027401226,0.328900324,0.788731412,-4.611177691,,FALSE
MSTRG.5817|DIP2B,-0.123432487,3.843052184,-1.05243592,0.317835077,0.782346844,-4.606622608,,FALSE
MSTRG.1594|OTUD7B,-0.123438277,5.029824361,-1.141203789,0.280880474,0.771590341,-4.584407699,,FALSE
MSTRG.18215|POMGNT2,-0.123475589,3.906962775,-1.165763894,0.271273853,0.767029652,-4.572688177,,FALSE
MSTRG.16263|TCF15,-0.123496685,1.862551356,-0.662284089,0.523044283,0.879808344,-4.641623768,,FALSE
MSTRG.4834|TMEM126A,-0.123501014,4.054140125,-0.612394645,0.55420705,0.889808037,-4.721851713,,FALSE
MSTRG.745|ZMYND12,-0.12362986,0.585109615,-0.40173691,0.696491028,0.936430416,-4.638822894,,FALSE
MSTRG.8904|PKM,-0.123631078,10.90326082,-0.922905488,0.378199263,0.816155287,-4.633822294,,FALSE
MSTRG.22543|RAB23,-0.123646086,2.542479878,-0.281666161,0.784052305,0.958367351,-4.692514161,,FALSE
